player1,player2,SetNo,P1GamesWon,P2GamesWon,P1Score,P2Score,video_name
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_47.0_417805.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_47.0_480332.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_47.2_284210.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,NO MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_47.3_316466.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_47.3_471210.jpg
NO MATCH,NO MATCH,NO MATCH,NO MATCH,NO MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_47.6_79309.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_47.7_369288.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_47.7_425159.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_47.8_515742.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_47.9_471879.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,NO MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_48.0_185983.jpg
NO MATCH,NO MATCH,NO MATCH,NO MATCH,NO MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_48.0_219351.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,NO MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_48.3_36688.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_48.3_475042.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_48.7_274952.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_48.7_286226.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_49.1_427063.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,NO MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_49.5_183356.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_51.5_506627.jpg
NO MATCH,NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Aleksandar Kovacevic vs. Frances Tiafoe Full Match ｜ 2024 US Open Round 1.f617_53.2_415122.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,NO MATCH,MATCH,Alex de Minaur vs. Daniel Evans Full Match ｜ 2024 US Open Round 3.f617_30.3_166338.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,NO MATCH,MATCH,Alex de Minaur vs. Daniel Evans Full Match ｜ 2024 US Open Round 3.f617_31.0_420089.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Alex de Minaur vs. Daniel Evans Full Match ｜ 2024 US Open Round 3.f617_33.1_467588.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,NO MATCH,Alex de Minaur vs. Daniel Evans Full Match ｜ 2024 US Open Round 3.f617_36.9_284280.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Alex de Minaur vs. Daniel Evans Full Match ｜ 2024 US Open Round 3.f617_39.5_381434.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,NO MATCH,Alex de Minaur vs. Daniel Evans Full Match ｜ 2024 US Open Round 3.f617_39.5_438477.jpg
NO MATCH,NO MATCH,NO MATCH,NO MATCH,NO MATCH,MATCH,MATCH,Alex de Minaur vs. Daniel Evans Full Match ｜ 2024 US Open Round 3.f617_39.6_23681.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,NO MATCH,MATCH,Alex de Minaur vs. Daniel Evans Full Match ｜ 2024 US Open Round 3.f617_39.6_442554.jpg
NO MATCH,NO MATCH,NO MATCH,NO MATCH,NO MATCH,MATCH,MATCH,Alex de Minaur vs. Daniel Evans Full Match ｜ 2024 US Open Round 3.f617_39.8_24852.jpg
